Event Name,Event Type,Start Date,Start Time,Finish Date,Finish Time,Location (address),Location (city),Location (country),Event Description,Event Link,Event Cost (other details),Recurring,
SuperBowl 2023,Sports & Leisure,12/02/2023,19:00 ET,12/02/2023,TBA,State Farm Stadium,Arizona,US,"The game is scheduled to be played on February 12, 2023, at State Farm Stadium in Glendale, Arizona. It was announced in September, that international popstar, entrepreneur, and philanthropist Rihanna will headline the halftime show at Super Bowl 202",https://www.nbcsports.com/washington/commanders/super-bowl-locations-2023-2024-and-beyond,,https://drive.google.com/file/d/1Lq96VTvVMlT50FQMrY__2Z-WU10HaLE0/view?usp=sharing,Annual
U.S. Gymnastics Championships ,Sports & Leisure,24/08/2023,TBA,28/08/2023,TBA,TBA,TBA,US,This event is a 4-day competition involving the top gymnasts in the US in the junior and senior level for men and women artistic gymnastics.,https://usagym.org/pages/index.html,,https://drive.google.com/file/d/1CAHl9mlH-Ww8o50yLt3T6lsvTmvlz2V9/view?usp=sharing,Annual
FA Cup Final 2023,Sports & Leisure,3/6/2023,TBA,3/6/2023,TBA,Wembley Stadium,London,UK,"the FA Cup is a knockout competition for virtually all football clubs in England, as well as a few in Wales. It begins in August with fully amateur clubs, and with each ensuing round, larger clubs enter the competition, always via random draw to determine who plays at home and who plays away. The Final at Wembley Stadium is usually in May but this year is in June.",https://www.thefa.com/,,https://drive.google.com/file/d/16m1Tv4lYEkgYTLGsGvtmAulqeSBvXxsm/view?usp=sharing,Annual
Stanley Cup Finals (Ice Hockey),Sports & Leisure,TBA,TBA,TBA,TBA,TBA,TBA,TBA,"The Stanley Cup is a trophy awarded annually to the playoff champion club of the National Hockey League (NHL) ice hockey league. It was donated by the Governor General of Canada Lord Stanley of Preston in 1892, and is the oldest professional sports trophy in North America.",https://www.nhl.com/,,https://drive.google.com/file/d/18I9rV1w6QbaqOnx2QWdXcpmJqjF0OQAW/view?usp=sharing,Annual
UEFA Championship (Football/Soccer) ,Sports & Leisure,27/06/2023,TBA,TBA,TBA,TBA,TBA,TBA,"The UEFA Champions League is an annual club football competition organised by the Union of European Football Associations and contested by top-division European clubs, deciding the competition winners through a round robin group stage to qualify for a double-legged knockout format, and a single leg final.",https://www.uefa.com/,,https://drive.google.com/file/d/1YAzlZxHUp0xokwY6XSgzOmWxfBlqfv7D/view?usp=sharing,Annual
2023 Tour de France,Sports & Leisure,01/07/2023,TBA,23/7/2023,TBA,,Basque Country,FR,"The Tour de France is an annual men's multiple-stage bicycle race primarily held in France, while also occasionally passing through nearby countries. Like the other Grand Tours, it consists of 21 stages, each a day long, over the course of 23 days, coinciding with the Bastille Day holiday. ",https://www.letour.fr/en/,,https://drive.google.com/file/d/1fwIXFMWazvXEW5AqqyYWWO9Nx2Neir9e/view?usp=sharing,Annual
Grand Final (AFL),Sports & Leisure,23/9/2023,TBA,23/9/2023,TBA,Melbourne Cricket Ground,Melbourne,AU,"The Australian Football League is the pre-eminent and only fully professional competition of Australian rules football. Through the AFL Commission, the AFL also serves as the sport's governing body and is responsible for controlling the laws of the game.",https://www.afl.com.au/,,https://drive.google.com/file/d/1qA-u46UPw-PQNZsVm4cUPifrzWRoLihP/view?usp=sharing,Annual
NRL Grand Final (Rugby),Sports & Leisure,1/10/2023,TBA,1/10/2023,TBA,Accor Stadium,Sydney,AU,"The NRL is the pre-eminent rugby league club competition in Australia and New Zealand. It contains clubs from the original New South Wales Rugby League premiership, which had been running continuously since 1908. Teams from Queensland, Victoria, the Australian Capital Territory and New Zealand also play in the league.",https://www.nrl.com/,,https://drive.google.com/file/d/1VUKwxuohvsFO7keK2qXoY6yiaxjv8DlG/view?usp=sharing,Annual
World Series (Baseball),Sports & Leisure,21/3/2023,TBA,21/3/2023,TBA,LoanDepot Park,Miami Florida,US,"The World Series is the annual championship series of Major League Baseball in the United States and Canada, contested since 1903 between the champion teams of the American League and the National League.",https://www.mlb.com/,,https://drive.google.com/file/d/18a4Fz1GLpweNW1ktLx8FK67awEnBno_Q/view?usp=sharing,Annual
US Masters Tournament PGA Tour,Sports & Leisure,06/04/2023,TBA,09/04/2023,TBA,Augusta National Golf Course,Georgia,US,"The 2023 Masters Tournament will be the 87th time this tournament is played. The Masters Tournament was first played in 1934, co-founded by Bobby Jones in Augusta, Georgia. It is one of the four major championships of men's professional golf.",https://www.masters.com/en_US/index.html,,https://drive.google.com/file/d/1N0OSmrEEsb6bNxN53xFtfMf2YSAIPfik/view?usp=sharing,Annual
US PGA 2023,Sports & Leisure,18/05/2023,TBA,21/05/2023,TBA,Oklahoma's Southern Hills Country Club,"Oak Hills, New York",US,The PGA Championship is an annual golf tournament conducted by the Professional Golfers' Association of America. It is one of the four men's major championships in professional golf.,https://www.pgachampionship.com/,,https://drive.google.com/file/d/1ttwJA-RG_A75Tx2TRSQbLS_Kj0Lq09bq/view?usp=sharing,Annual
US Open 2023,Sports & Leisure,15/06/2023,TBA,18/06/2023,TBA,Los Angeles Country Club,"Los Angeles, CA",US,"The United States Open Championship, commonly known as the U.S. Open, is the annual open national championship of golf in the United States. It is the third of the four major championships in golf, and is on the official schedule of both the PGA Tour and the European Tour.",https://www.usopen.com/,,https://drive.google.com/file/d/1Ss02Ig5S2eLl8SHoz0SkpgNp5O0XOJmE/view?usp=sharing,Annual
British Open 2023,Sports & Leisure,20/07/2023,TBA,23/07/2023,TBA,Royal Liverpool Golf Course,Wirral CH47 4AL,UK,"The Open Championship, often referred to as The Open or the British Open, is the oldest golf tournament in the world, and one of the most prestigious. Founded in 1860, it was originally held annually at Prestwick Golf Club in Scotland.",https://www.theopen.com/,,https://drive.google.com/file/d/1jNdjLOXfNbuKdkjSwnuGsCcc2KCxf9N7/view?usp=sharing,Annual
Daytona 500,Sports & Leisure,19/02/2023,TBA,11/2023,TBA,Daytona International Speedway,"Daytona Beach, Florida",US,"The Daytona 500 is a 500-mile-long NASCAR Cup Series motor race held annually at Daytona International Speedway in Daytona Beach, Florida.",https://www.daytonainternationalspeedway.com/,,https://drive.google.com/file/d/1rullh2kxztfgUalK0vSiTFTf5Ve0BmE5/view?usp=sharing,Annual
2023 Formula One World Championship,Sports & Leisure,05/03/2023,TBA,26/11/2023,TBA,Worldwide,Worldwide,Worldwide,"The 2023 FIA Formula One World Championship is a planned motor racing championship for Formula One cars which will be the 74th running of the Formula One World Championship.[a] It is recognised by the Fédération Internationale de l'Automobile (FIA), the governing body of international motorsport, as the highest class of competition for open-wheel racing cars. The championship is due to be contested over a record twenty-four Grands Prix, which will be held around the world, and it is scheduled to begin in March and to end in November.",https://www.formula1.com/,,https://drive.google.com/file/d/1FGnigBElu6u3-Kx3bT2j8coXyEDJQJR4/view?usp=sharing,Annual
28th Annual Critics Choice Awards,Arts & Entertainment,15/01/2023,TBA,15/01/2023,TBA,Fairmont Century Plaza Hotel,"Los Angeles, CA",US,The Critics' Choice Movie Awards (formerly known as the Broadcast Film Critics Association Award) is an awards show presented annually by the American-Canadian Critics Choice Association (CCA) to honor the finest in cinematic achievement.,https://www.criticschoice.com/,,https://drive.google.com/file/d/1cd2fjrCDxPQMPinoGTt537Q7BQJesR7i/view?usp=sharing,Annual
Golden Globes 2023,Arts & Entertainment,11/01/2023,TBA,11/01/2023,TBA,Beverly Hilton Hotel,"Beverly Hills, CA",US,"The Golden Globe Awards are accolades bestowed by the Hollywood Foreign Press Association beginning in January 1944, recognizing excellence in both American and international film and television.",https://www.goldenglobes.com/,,https://drive.google.com/file/d/1XoOETqgeVPjibWURGzR9cwe4zHBCBNL3/view?usp=sharing,Annual
Oscars Governors 2023,Arts & Entertainment,12/03/2023,TBA,12/03/2023,TBA,Dolby Theatre at Ovation Hollywood,"Hollywood, CA",US,"The Governors Awards is an annual event celebrating awards conferred by the Academy's Board of Governors – the Irving G. Thalberg Memorial Award, the Jean Hersholt Humanitarian Award and the Honorary Award. Recipients are announced each summer and honored at a dinner gala in November.",https://www.oscars.org/governors,,https://drive.google.com/file/d/1vVsKFH08auP3x-y5P5iV-agMvC4Kix2y/view?usp=sharing,Annual
Grammys 2023,Arts & Entertainment,05/02/2023,TBA,05/02/2023,TBA,Crypto.com Aren,"Los Angeles, CA",US,"The Grammy Award, or just Grammy, is an award presented by the Recording Academy to recognize ""Outstanding Achievement in the music industry"" of the United States. The trophy depicts a gilded gramophone. The Grammys are the first of the Big Three networks' major music awards held annually.",https://www.grammy.com/,,https://drive.google.com/file/d/1OaLoULU6bc3Fb-06TcMqnoC3628LaXSz/view?usp=sharing,Annual
BAFTA 2023,Arts & Entertainment,19/02/2023,TBA,19/02/2023,TBA,London's Royal Festival Hall,"Southbank Centre, Belvedere Rd, London SE1 8XX",UK,"The first BAFTA Awards ceremony was held in 1949, and the ceremony was first broadcast on the BBC in 1956 with Vivien Leigh as the host.",https://www.bafta.org/,,https://drive.google.com/file/d/1cyKpnSr-Z5nrbjofEJNlYgI1qMjUwYKJ/view?usp=sharing,Annual
Annie Awards 2023,Arts & Entertainment,25/02/2023,TBA,25/02/2023,TBA,UCLA ROYCE HALL.,"Los Angeles, CA",US,"The Annie Awards are accolades which the Los Angeles branch of the International Animated Film Association, ASIFA-Hollywood, has presented each year since 1972 to recognize excellence in animation shown in cinema and television.",https://annieawards.org/,,https://drive.google.com/file/d/1yYGizoLipPkX4zdYf7nt-XkCekn1w7Ec/view?usp=sharing,Annual
American Cinema Editors Eddie Awards ceremony,Arts & Entertainment,05/03/2023,TBA,05/03/2023,TBA,UCLA ROYCE HALL.,"Los Angeles, CA",US,"Since 1951, American Cinema Editors has celebrated the best in television and feature film editing at the annual ACE Eddie Awards gala. More than a thousand of the entertainment industry's most accomplished editors, filmmakers and Hollywood elite attend the black-tie event held each year.","https://americancinemaeditors.org/eddie-awards/#:~:text=Since%201951%2C%20American%20Cinema%20Editors,tie%20event%20held%20each%20year.",,https://drive.google.com/file/d/13vxvKEpL8fUL2UIUoOwEtFTVg3H5nUjI/view?usp=sharing,Annual
Producers Guild of America Awards ceremony,Arts & Entertainment,25/02/2023,TBA,25/02/2023,TBA,Fairmont Century Plaza Hotel,"Los Angeles, CA",US,The 33rd Producers Guild of America Awards honors the best film and television producers.,https://producersguild.org/category/all-news/awards/,,https://drive.google.com/file/d/11V0ScLbEAQleF3K5DHxFnfmRxTN1mb2j/view?usp=sharing,Annual
Screen Actors Guild Awards ceremony,Arts & Entertainment,26/02/2023,TBA,28/02/2023,TBA,Shrine Exposition Center,"Los Angeles, CA",US,Screen Actors Guild Awards are accolades given by the Screen Actors Guild-American Federation of Television and Radio Artists. The award was founded in 1952 to recognize outstanding performances in movie and prime time television. ,https://www.sagawards.org/,,https://drive.google.com/file/d/1ELo0VMgJ4Ng2TdDi4RUaP6LD6bWA2ZVQ/view?usp=sharing,Annual
Art Directors Guild Awards ceremony,Arts & Entertainment,18/02/2023,TBA,18/02/2023,TBA,InterContinental Los Angeles Downtown,"Los Angeles, CA",US,The ADG Excellence in Production Design Awards are awards presented annually by the Art Directors Guild (ADG) to recognize excellence in production design and art direction in the film and television industries. Honorees are presented with an award made by the New York firm Society Awards.,https://adg.org/awards/adg/,,https://drive.google.com/file/d/1Qnoi9Llgf_2og2Uwein-EIl55hCZjNMx/view?usp=sharing,Annual
Film Independent Spirit Awards ceremony,Arts & Entertainment,04/03/2023,TBA,04/03/2023,TBA,"In keeping with its Los Angeles roots, the Spirit Awards takes place each year in and around a beachfront tent in beautiful Santa Monica.","Santa Monica, CA",US,"The Film Independent Spirit Awards is the premier awards event for the independent film and television community. Each year, the Spirit Awards brings together top talent from throughout the world of film and television.",https://www.filmindependent.org/spirit-awards/,,https://drive.google.com/file/d/1_AkgeT-8rRMHl8cZSW_kIkp-c-zLvdf5/view?usp=sharing,Annual
Costume Designers Guild Awards,Arts & Entertainment,27/02/2023,TBA,27/02/2023,TBA,Fairmont Century Plaza,"Los Angeles, CA",US,"The Costume Designers Guild, Local 892, is a union of professional costume designers, assistant costume designers, and illustrators working in film, television, commercials and other media. The CDG is not an employment agency, it is a labor union",https://www.costumedesignersguild.com/awards-current/,,https://drive.google.com/file/d/1PCwZFfA1v8862BP1KZlm8CmN9E1NnTi0/view?usp=sharing,Annual
Directors Guild of America Awards ceremony,Arts & Entertainment,18/02/2023,TBA,18/02/2023,TBA,Beverly Hilton Hotel,"Beverly Hills, CA",US,"The 74th Directors Guild of America Awards, honoring the outstanding directorial achievement in feature films, documentary, television and commercials of the year",https://www.dga.org/awards/annual.aspx,,https://drive.google.com/file/d/1aDVOoxPf49GqosE_s2CLTOsw2cDGOEp1/view?usp=sharing,Annual
Writers Guild of America Awards ceremony,Arts & Entertainment,05/03/2023,TBA,05/03/2023,TBA,TBA,TBA,US,"The Writers Guild Awards honor outstanding writing in film, television, new media, news, radio, and promotional categories.",https://awards.wga.org/,,https://drive.google.com/file/d/1WL-K___QYnBSIht5K6OSHaC9u5CJQfB7/view?usp=sharing,Annual
Frankfurt Fashion Week,Fashion,10/1/2023,TBA,13/1/203,TBA,TBA,Frankfurt,GE,"Frankfurt Fashion Week is the new home for a future-oriented fashion and lifestyle community. With its ecosystem of trade shows, conferences, runways, and events, the focus is on sustainability and digitalisation, bringing together decision-makers and forward-thinkers of the international fashion business.",https://frankfurt.fashion/en,,https://drive.google.com/file/d/1I0tlE_d8Ydeshul-T3-27a2zikGTPFqT/view?usp=sharing,Annual
Copenhagen Fashion Week,Fashion,9/8/2023,TBA,12/8/2023,TBA,Copenhagen City Hall,Copenhagen,DE,"Copenhagen Fashion Week is the leading Nordic biannual fashion week held in January/February and August. Each season, esteemed industry leaders attend four days of showcases and events alongside the two trade shows CIFF and Revolver. Sustainability is the core focus area for Copenhagen Fashion Week.",https://copenhagenfashionweek.com/,,https://drive.google.com/file/d/1N57XH2TsKTt5lqsIubAOnfyZzys0UGae/view?usp=sharing,Annual
Madrid Fashion Week,Fashion,15/2/2023,TBA,19/2/2023,TBA,Hall 14.1 at Feria de Madrid,Madrid,ESP,Mercedes-Benz Fashion Week Madrid is Spain's number one fashion show and the leading showcase for raising the profile of Spanish fashion around the world. It is organised by IFEMA MADRID and is held twice a year in Hall 14.1 at Feria de Madrid and in select venues around the city.,https://www.ifema.es/en/mbfw-madrid,,https://drive.google.com/file/d/1erxx1BhR3xSgwXFVCdMWtp82MJJn7i6F/view?usp=sharing,Annual
New York Fashion Week Women's,Fashion,14/2/2023,TBA,14/2/2023,TBA,Skylight Clarkson Square,"Manhattan, NY",US,"New York Fashion Week (NYFW), held in February and September of each year, is a semi-annual series of events in Manhattan typically spanning 7–9 days when international fashion collections are shown to buyers, the press, and the general public.",https://nyfw.com/home/,,https://drive.google.com/file/d/1pMND2ziypsgVJe1D0nUkMysiyMCUEcCL/view?usp=sharing,Annual
New York Fashion Week Bridal ,Fashion,11/10/2023,TBA,14/10/2023,TBA,TBA,"Manhattan, NY",US,"New York Bridal Fashion Week is an industry event where designers and brands reveal their latest collections, twice a year in October and April, to brides, retail buyers, and the media.",https://fashionweekonline.com/bridal,,https://drive.google.com/file/d/18sLa4PSCP11T9uPAxd1HqLXWCyLRPcYU/view?usp=sharing,Annual
New York Fashion Week Pre-Fall & Fall/Winter,Fashion,TBA,TBA,TBA,TBA,TBA,"Manhattan, NY",US,This New York Fashion Week for the Fall/Winter 2022 collections will be “almost normal” although hygiene protocols and vaccine certifications are the minimum requirements for attendants and organizers.,https://nyfw.com/home/,,https://drive.google.com/file/d/156RFlyoevwDxyr6hL20wqQEsW4MtYzL0/view?usp=sharing,Annual
London Fashion Week ,Fashion,16/9/2023,TBA,20/9/2023,TBA,Hylo,London,UK,"London Fashion Week is a clothing trade show that takes place in London twice a year, in February and September. Showcasing over 250 designers to a global audience of influential media and retailers, it is one of the 'Big Four' fashion weeks, along with the New York, Milan and Paris.",https://londonfashionweek.co.uk/,,https://drive.google.com/file/d/1gTlaSVFYXap_eNltaeZBIkAgxA9tcCvm/view?usp=sharing,Annual
London Fashion Week Men's,Fashion,14/2/2023,TBA,14/2/2023,TBA,Skylight Clarkson Square,"Manhattan, NY",US,"New York Fashion Week (NYFW), held in February and September of each year, is a semi-annual series of events in Manhattan typically spanning 7–9 days when international fashion collections are shown to buyers, the press, and the general public.",https://nyfw.com/home/,,https://drive.google.com/file/d/1pMND2ziypsgVJe1D0nUkMysiyMCUEcCL/view?usp=sharing,Annual
Milan Fashion Week,Fashion,20/2/2023,TBA,26/2/2023,TBA,Piazza del Duomo,Milan,IT,"Milan Fashion Week is a clothing trade show held semi-annually in Milan, Italy. The autumn/winter event is held in February/March of each year, and the spring/summer event is held in September/October of each year. It is one of the most important worldwide.",https://fashionweekonline.com/milan,,https://drive.google.com/file/d/1rnemV0UIy_BeisloO2dgYcUXwVui0IIZ/view?usp=sharing,Annual
Paris Fashion Week ,Fashion,26/9/2023,TBA,4/10/2023,TBA,Carrousel du Louvre,Paris,FR,"Paris Fashion Week is a series of designer presentations held semiannually in Paris, France with spring/summer and autumn/winter events held each year. Dates are determined by the French Fashion Federation. Paris Fashion Week is held at venues throughout the city. ",https://fhcm.paris/en/paris-fashion-week-en/,,https://drive.google.com/file/d/1E6XRS7ujfNm1PHbN1JRttWNklgdd1vbn/view?usp=sharing,Annual
Paris Haute Couture Week,Fashion,26/9/2023,TBA,4/10/2023,TBA,TBA,Paris,FR,"Paris Fashion Week (French: Semaine de la mode de Paris) is a series of designer presentations held semiannually in Paris, France with spring/summer and autumn/winter events held each year. Dates are determined by the French Fashion Federation. Paris Fashion Week is held at venues throughout the city.",https://hautecouture.fhcm.paris/en/,,https://drive.google.com/file/d/1KxeoCaXUuzocz38LgrBa3FYtO9JTXX5n/view?usp=sharing,Annual
Shanghai Fashion Week,Fashion,25/9/2023,TBA,30/9/2023,TBA,TBA,Shanghai,CH,"Shanghai Fashion Week is a fashion event held two times every year in Shanghai, each time lasting for seven days which is a part of Shanghai International Fashion Culture Festival which usually lasts for a month. The event first began in 2001.",https://www.shanghaifashionweek.com/page/shfw?language=en,,https://drive.google.com/file/d/1hi6kFfBn0XEeHpebyvdwhsk6UCSDE4RP/view?usp=sharing,Annual
Seoul Fashion Week,Fashion,11/10/2023,TBA,15/10/2023,TBA,Dongdaemun Design Plaza,Seoul,South Korea,"Seoul Fashion Week, South Korea's biggest biannual fashion show",https://www.seoulfashionweek.org/,,https://drive.google.com/file/d/1apsGXrPYuCUnePVpaSUjY0bAX4PirS0s/view?usp=sharing,Annual
Winter World University Games,Sports & Leisure,12/1/2023,TBA,22/1/2023,TBA,TBA,Lake Placid,US,"The 2023 FISU Winter World University Games, commonly known as Lake Placid 2023, is a collegiate multi-sport winter sports event scheduled to be held from January 12 to 22, 2023 in Lake Placid, New York, United States.",https://www.fisu.net/sport-events/fisu-world-university-games/winter-fisu-world-university-games,,https://drive.google.com/file/d/1hc2XkdLwMvEqFFIWCcxIrV2cMjpU85lD/view?usp=sharing,Annual
World Championships,Sports & Leisure,12/1/2023,TBA,29/1/2023,TBA,TBA,TBA,Poland / Sweden,"A world championship is generally an international competition open to elite competitors from around the world, representing their nations, and winning such an event will be considered the highest or near highest achievement in the sport, game, or ability.",https://worldathletics.org/,,https://drive.google.com/file/d/1Vbw35qQsOseOR7y7G-Kp-h483E3kPyUF/view?usp=sharing,Annual
Men's Hockey World Cup,Sports & Leisure,13/12023,TBA,29/1/2023,TBA,Kalinga Stadium,Bhubaneswar,IN,"The Hockey World Cup is an international field hockey competition organized by the International Hockey Federation (FIH). The tournamewnt was founded in 1924 by Frenchman, Paul Leautey. It Since 1971, it is held every four years, between the Summer Olympics.",https://www.fih.hockey/events/world-cup,,https://drive.google.com/file/d/1SoK8FzNGTiv_r2qLItuAJoWW23YMUe0b/view?usp=sharing,Annual
Winter X Games 27,Sports & Leisure,27/1/2023,TBA,29/1/2023,TBA,TBA,"Aspen, Colorado",US,"The X Games is a yearly sports event, controlled and managed by the American sports broadcasting channel, ESPN, which focuses on extreme sports. The first X Games were held in 1995 in Newport, Rhode Island. Held simultaneously to the X Games is the X Fest which is a sports and music",http://www.xgames.com/events/winter-x-games,,https://drive.google.com/file/d/1BCFoz5budx-Ahth3E3KqoC9E9blsycWy/view?usp=sharing,Annual
Six Nations [Rugby],Sports & Leisure,4/2/2023,TBA,18/3/2023,TBA,Principality Stadium,"Cardiff, Wales",IR,"The 6 nations championship is one of many events in the international Rugby Union calendar. It is an annual competition between six European sides: England, France, Ireland, Italy, Scotland and Wales. The Rugby Championship is a similar tournament in the Southern Hemisphere.",https://www.sixnationsrugby.com/,,https://drive.google.com/file/d/1z5RPep2LPQ3HxJIvhOOB68YuHzonAVxW/view?usp=sharing,Annual
Alpine World Ski Championships,Sports & Leisure,6/2/2023,TBA,19/2/2023,TBA,TBA,Méribel,FR,"The Alpine Skiing World Championships is the world's second largest winter sports event, only the Winter Olympic Games is larger.",https://www.fis-ski.com/en/alpine-skiing,,https://drive.google.com/file/d/1WKtusoZW8ZNGODt0QnmqHSDvpCk0cRNF/view?usp=sharing,Biennial
ICC World T20 (women),Sports & Leisure,10/2/2023,TBA,26/2/2023,TBA,TBA,TBA,SA,The International Cricket Council (ICC) Women's T20 World Cup is the international championship of Twenty20 cricket for national women's teams. The ICC World T20 takes place approximately every two years. ,https://womens.t20worldcup.com/,,https://drive.google.com/file/d/11szOtaWGUDoLw2JVSzglUfKGLRgMv5bE/view?usp=sharing,Annual
FIS Nordic World Ski Championships,Sports & Leisure,21/2/2023,TBA,5/3/2023,TBA,"The Westin Resort, Costa Navarino",Pilos,GR,The FIS Nordic World Ski Championships is a biennial nordic skiing event organized by the International Ski Federation (FIS). The World Championships was started in 1925 for men and opened for women's participation in 1954.,https://www.planica2023.si/en,,https://drive.google.com/file/d/1Uwevj1B8lyKgDPCOIFfFaS7Vtz2MeXTo/view?usp=sharing,Annual
